Typ,Budzet,Opis
Hydrauliczna,Budget ($),Wymiana uszczelki w kranie kuchennym
Hydrauliczna,Standard ($$),Udrożnienie rur w łazience
Hydrauliczna,Premium ($$$),Montaż kabiny prysznicowej
Hydrauliczna,Standard ($$),Naprawa spłuczki podtynkowej
Hydrauliczna,Budget ($),Podłączenie pralki
Hydrauliczna,Standard ($$),Wymiana syfonu w zlewie
Hydrauliczna,Premium ($$$),Montaż instalacji wodnej w nowej kuchni
Hydrauliczna,Budget ($),Naprawa cieknącego grzejnika
Hydrauliczna,Standard ($$),Wymiana licznika wody
Hydrauliczna,Premium ($$$),Instalacja ogrzewania podłogowego
Budowlana,Standard ($$),Malowanie salonu 30m2
Budowlana,Standard ($$),Układanie paneli podłogowych
Budowlana,Budget ($),Szpachlowanie ubytków w ścianie
Budowlana,Premium ($$$),Montaż sufitu podwieszanego
Budowlana,Standard ($$),Skuwanie starych płytek
Budowlana,Premium ($$$),Budowa ścianki działowej z płyt G-K
Budowlana,Budget ($),Wiercenie otworów w betonie pod półki
Budowlana,Standard ($$),Tynkowanie dekoracyjne jednej ściany
Budowlana,Premium ($$$),Kompleksowe wykończenie łazienki
Budowlana,Standard ($$),Izolacja akustyczna sufitu
Florystyczna,Premium ($$$),Przygotowanie bukietu ślubnego
Florystyczna,Premium ($$$),Dekoracja kwiatowa sali bankietowej
Florystyczna,Standard ($$),Flowerbox na urodziny
Florystyczna,Budget ($),Wiązanka okolicznościowa
Florystyczna,Standard ($$),Pielęgnacja roślin w biurze
Florystyczna,Premium ($$$),Oprawa kwiatowa pogrzebu
Florystyczna,Budget ($),Bukiet tulipanów z dostawą
Florystyczna,Standard ($$),Warsztaty z układania lasu w słoiku
Florystyczna,Premium ($$$),Dekoracja kościoła na ślub
Florystyczna,Standard ($$),Kompozycja kwiatowa na recepcję
Dentystyczna,Standard ($$),Przegląd stomatologiczny i czyszczenie
Dentystyczna,Standard ($$),Wypełnienie światłoutwardzalne
Dentystyczna,Premium ($$$),Ekstrakcja zęba mądrości
Dentystyczna,Premium ($$$),Wybielanie zębów
Dentystyczna,Standard ($$),Konsultacja ortodontyczna
Dentystyczna,Premium ($$$),Wstawienie implantu zębowego
Dentystyczna,Budget ($),Leczenie kanałowe jednego kanału
Dentystyczna,Standard ($$),Proteza częściowa osiadająca
Dentystyczna,Premium ($$$),Licówki porcelanowe (2 sztuki)
Dentystyczna,Budget ($),Usunięcie kamienia nazębnego (skaling)
Elektryczna,Budget ($),Montaż gniazdek i włączników
Elektryczna,Standard ($$),Podłączenie płyty indukcyjnej
Elektryczna,Premium ($$$),Wymiana skrzynki bezpiecznikowej
Elektryczna,Standard ($$),Naprawa oświetlenia LED
Elektryczna,Premium ($$$),Pomiary elektryczne instalacji
Elektryczna,Budget ($),Wymiana żarówek w witrynie sklepowej
Elektryczna,Standard ($$),Montaż domofonu w domu jednorodzinnym
Elektryczna,Premium ($$$),Instalacja inteligentnego domu (Smart Home)
Elektryczna,Standard ($$),Podłączenie piekarnika elektrycznego
Elektryczna,Budget ($),Naprawa zerwanego kabla zasilającego
Sprzątająca,Premium ($$$),Gruntowne sprzątanie po remoncie
Sprzątająca,Standard ($$),Mycie okien w całym domu
Sprzątająca,Standard ($$),Pranie tapicerki meblowej
Sprzątająca,Standard ($$),Regularne sprzątanie biura
Sprzątająca,Budget ($),Odkurzanie i mycie podłóg
Sprzątająca,Premium ($$$),Czyszczenie elewacji domu
Sprzątająca,Standard ($$),Pranie dywanów metodą ekstrakcyjną
Sprzątająca,Budget ($),Mycie witryny sklepowej (mała)
Sprzątająca,Standard ($$),Sprzątanie po imprezie okolicznościowej
Sprzątająca,Premium ($$$),Doczyszczanie posadzek przemysłowych
IT i Grafika,Premium ($$$),Zaprojektowanie logo i identyfikacji
IT i Grafika,Standard ($$),Strona wizytówka na WordPress
IT i Grafika,Budget ($),Edycja 20 zdjęć produktowych
IT i Grafika,Premium ($$$),Naprawa błędu w sklepie online
IT i Grafika,Standard ($$),Złożenie prostego filmu promocyjnego
IT i Grafika,Budget ($),Instalacja systemu Windows i sterowników
IT i Grafika,Premium ($$$),Pozycjonowanie strony lokalnej (SEO)
IT i Grafika,Standard ($$),Konfiguracja sieci Wi-Fi w biurze
IT i Grafika,Budget ($),Usunięcie wirusów z laptopa
IT i Grafika,Premium ($$$),Stworzenie aplikacji mobilnej MVP
Transport i Przeprowadzki,Premium ($$$),Przeprowadzka całego mieszkania
Transport i Przeprowadzki,Standard ($$),Transport kanapy z wniesieniem
Transport i Przeprowadzki,Budget ($),Przewóz szafy (sam kierowca)
Transport i Przeprowadzki,Standard ($$),Wywóz starych mebli
Transport i Przeprowadzki,Premium ($$$),Transport pianina lub instrumentów
Transport i Przeprowadzki,Standard ($$),Transport materiałów budowlanych
Transport i Przeprowadzki,Budget ($),Dostarczenie palety towaru
Transport i Przeprowadzki,Premium ($$$),Relokacja biura (10 stanowisk)
Transport i Przeprowadzki,Standard ($$),Przewóz motocykla na lawecie
Transport i Przeprowadzki,Budget ($),Wniesienie lodówki na 4 piętro
Ogrody i Tereny Zielone,Premium ($$$),Montaż systemu nawadniania
Ogrody i Tereny Zielone,Standard ($$),Koszenie i aeracja trawnika
Ogrody i Tereny Zielone,Standard ($$),Przycinanie żywopłotu
Ogrody i Tereny Zielone,Budget ($),Grabienie liści
Ogrody i Tereny Zielone,Premium ($$$),Budowa tarasu drewnianego
Ogrody i Tereny Zielone,Standard ($$),Nasadzenia drzewek owocowych
Ogrody i Tereny Zielone,Budget ($),Pielenie rabatek kwiatowych
Ogrody i Tereny Zielone,Premium ($$$),Wycinka starego drzewa (metoda alpinistyczna)
Ogrody i Tereny Zielone,Standard ($$),Opryski przeciw szkodnikom
Ogrody i Tereny Zielone,Budget ($),Wywiezienie odpadów zielonych
Motoryzacyjna,Standard ($$),Wymiana olejów i filtrów
Motoryzacyjna,Budget ($),Sezonowa wymiana opon
Motoryzacyjna,Premium ($$$),Kompleksowy detailing wnętrza
Motoryzacyjna,Standard ($$),Naprawa układu hamulcowego
Motoryzacyjna,Premium ($$$),Diagnostyka komputerowa i naprawa wtrysków
Motoryzacyjna,Standard ($$),Wymiana rozrządu w silniku Diesla
Motoryzacyjna,Budget ($),Polerowanie zmatowiałych reflektorów
Motoryzacyjna,Standard ($$),Ustawienie zbieżności kół
Motoryzacyjna,Premium ($$$),Przygotowanie auta do sprzedaży (komplet)
Motoryzacyjna,Budget ($),Wymiana akumulatora z dojazdem